Enzyme Name	EC	Compound Name	Km	Concentration
"(2,3-dihydroxybenzoyl)adenylate synthase"	2.7.7.58	"2,3-dihydroxybenzoate"	2.70E-06	1.38E-04
acetyl-CoA C-acyltransferase	2.3.1.16	acetoacetyl-coa	3.10E-05	2.18E-05
3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	acetotacetyl-coa	6.60E-05	2.18E-05
acetate kinase	2.7.2.1	acetyl phosphate	8.94E-04	1.07E-03
acetaldehyde dehydrogenase	1.2.1.10	acetyl-coa	9.54E-06	6.06E-04
glucosamine-1-phosphate N-acetyltransferase	2.3.1.157	acetyl-coa	6.00E-04	6.06E-04
glycine C-acetyltransferase	2.3.1.29	acetyl-coa	5.90E-05	6.06E-04
serine O-acetyltransferase	2.3.1.30	acetyl-coa	5.60E-04	6.06E-04
formate C-acetyltransferase	2.3.1.54	acetyl-coa	5.10E-05	6.06E-04
acetyl-CoA acetyltransferase	2.3.1.9	acetyl-coa	4.70E-04	6.06E-04
citrate (Si)-synthase	2.3.3.1	acetyl-coa	2.16E-04	6.06E-04
malate synthase	2.3.3.9	acetyl-coa	9.00E-06	6.06E-04
acetylornithine deacetylase	3.5.1.16	acetylornithine	1.46E-03	4.33E-05
adenine phosphoribosyltransferase	2.4.2.7	adenine	5.10E-06	1.47E-06
adenine deaminase	3.5.4.2	adenine	8.00E-04	1.47E-06
purine-nucleoside phosphorylase	2.4.2.1	adenosine	2.35E-05	5.55E-04
adenosine deaminase	3.5.4.4	adenosine	7.50E-05	5.55E-04
Phosphoenolpyruvate carboxykinase	4.1.1.49	ADP	5.00E-05	5.55E-04
ADP-sugar diphosphatase	3.6.1.21	ADP-glucose	1.67E-04	4.27E-06
8-amino-7-oxononanoate synthase	2.3.1.47	alanine	6.71E-04	2.55E-03
alanine racemase	5.1.1.1	alanine	2.90E-04	2.55E-03
alanine-tRNA ligase	6.1.1.7	alanine	3.40E-04	2.55E-03
UDP-N-acetylmuramate-L-alanine ligase	6.3.2.8	alanine	4.58E-05	2.55E-03
adenylate kinase	2.7.4.3	AMP	3.80E-05	2.81E-04
5'-nucleotidase	3.1.3.5	AMP	1.54E-04	2.81E-04
AMP nucleosidase	3.2.2.4	AMP	1.34E-03	2.81E-04
adenylyl-sulfate kinase	2.7.1.25	adenosine-phosphosulfate	3.54E-07	6.63E-06
arginine decarboxylase	4.1.1.19	arginine	6.50E-04	5.69E-04
arginine-tRNA ligase	6.1.1.19	arginine	4.96E-05	5.69E-04
asparaginase	3.5.1.1	asparagine	1.29E-05	5.11E-04
asparagine-tRNA ligase	6.1.1.22	asparagine	2.33E-05	5.11E-04
L-aspartate oxidase	1.4.3.16	aspartate	1.43E-03	4.23E-03
aspartate carbamoyltransferase	2.1.3.2	aspartate	9.90E-03	4.23E-03
aspartate transaminase	2.6.1.1	aspartate	2.22E-03	4.23E-03
aromatic-amino-acid transaminase	2.6.1.57	aspartate	4.56E-03	4.23E-03
aspartate kinase	2.7.2.4	aspartate	9.71E-04	4.23E-03
aspartate ammonia-lyase	4.3.1.1	aspartate	1.59E-03	4.23E-03
aspartate-tRNA ligase	6.1.1.12	aspartate	5.48E-05	4.23E-03
phosphoribosylaminoimidazolesuccinocarboxamide synthase	6.3.2.6	aspartate	3.60E-05	4.23E-03
adenylosuccinate synthase	6.3.4.4	aspartate	1.70E-04	4.23E-03
asparagine synthase (glutamine-hydrolysing)	6.3.5.4	aspartate	6.70E-04	4.23E-03
nicotinate phosphoribosyltransferase	2.4.2.11	ATP	4.00E-04	9.63E-03
methionine adenosyltransferase	2.5.1.6	ATP	7.78E-05	9.63E-03
diacylglycerol kinase	2.7.1.107	ATP	1.91E-03	9.63E-03
6-phosphofructokinase	2.7.1.11	ATP	1.18E-04	9.63E-03
gluconokinase	2.7.1.12	ATP	7.44E-05	9.63E-03
ribulokinase	2.7.1.16	ATP	5.92E-05	9.63E-03
glucokinase	2.7.1.2	ATP	3.61E-04	9.63E-03
NAD+ kinase	2.7.1.23	ATP	7.58E-04	9.63E-03
adenylyl-sulfate kinase	2.7.1.25	ATP	1.00E-05	9.63E-03
homoserine kinase	2.7.1.39	ATP	4.06E-04	9.63E-03
hydroxymethylpyrimidine kinase	2.7.1.49	ATP	1.43E-04	9.63E-03
N-acetylglucosamine kinase	2.7.1.59	ATP	1.12E-05	9.63E-03
galactokinase	2.7.1.6	ATP	2.37E-03	9.63E-03
shikimate kinase	2.7.1.71	ATP	1.60E-04	9.63E-03
inosine kinase	2.7.1.73	ATP	6.02E-04	9.63E-03
acetate kinase	2.7.2.1	ATP	2.57E-04	9.63E-03
glutamate 5-kinase	2.7.2.11	ATP	4.47E-04	9.63E-03
aspartate kinase	2.7.2.4	ATP	1.60E-03	9.63E-03
acetylglutamate kinase	2.7.2.8	ATP	5.39E-04	9.63E-03
T2-induced deoxynucleotide kinase	2.7.4.12	ATP	1.01E-03	9.63E-03
cytidylate kinase	2.7.4.14	ATP	3.80E-05	9.63E-03
thiamine-phosphate kinase	2.7.4.16	ATP	2.70E-04	9.63E-03
adenylate kinase	2.7.4.3	ATP	4.80E-05	9.63E-03
phosphomethylpyrimidine kinase	2.7.4.7	ATP	1.93E-04	9.63E-03
dTMP kinase	2.7.4.9	ATP	2.19E-04	9.63E-03
ribose-phosphate diphosphokinase	2.7.6.1	ATP	2.30E-05	9.63E-03
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2.7.6.3	ATP	1.56E-05	9.63E-03
