proteins	genes	gene_name	kcat	rxns	notes	stoicho
P09373 + P0A9N4	b0903 and b0902	b0903 and b0902	0.1	PFL	Off	1 + 1
P0A9N4 + P42632	b0902 and b3114	b0902 and b3114	0.1	PFL	Off	1 + 1
P32674 + P32675	b3951 and b3952	b3951 and b3952	0.1	PFL	Off	1 + 1
P09373 + P0A9N4 + P68066	b0903 and b0902 and b2579	b0903 and b0902 and b2579	76.4191	PFL	DLKcat	1 + 1 + 1
P0A6T3	b0757	b0757	146	GALKr	DLKcat	1
P52643	b1380	b1380	224.2645	LDH_D_REV	DLKcat	1
P77580	b0351	b0351	48.9324	ACALD_REV	DLKcat	1
P0A9Q7	b1241	b1241	0.1	ACALD_REV	Off	1
P77747	b1377	b1377	65.2939	XYLtex	DLKcat	1
P27302	b2935	b2935	121.8	TKT1	BRENDA	1
P27302	b2935	b2935	121.8	TKT2	BRENDA	1
P0AG07	b3386	b3386	1300	RPE_REV	BRENDA	1
